"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_4","FWB1_5","FWB1_6","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_2","FS1_3"
"1",1,3,4,5,7,33,1,2,1,5,4,2,3,5,25,2,2
"1",1,2,7,7,6,46,1,2,3,3,4,1,3,3,34,3,2
"1",1,1,5,5,7,45,5,2,4,3,3,2,4,4,57,1,5
"1",2,3,4,4,7,71,4,4,4,1,2,5,1,2,43,3,3
"1",2,2,7,7,7,59,3,4,4,4,3,4,1,2,68,5,4
"1",2,3,7,7,7,55,3,5,4,5,4,5,2,3,79,5,5
"1",1,2,6,6,6,58,3,4,3,4,2,4,2,2,49,3,3
"1",1,3,4,5,3,54,3,3,2,3,4,4,2,2,37,3,2
"1",1,3,5,5,5,70,4,4,3,1,2,5,1,2,51,3,3
"1",1,3,7,7,7,75,4,5,5,1,2,5,1,2,64,5,3
"1",2,3,5,6,5,47,3,3,3,4,3,2,4,3,50,4,3
"1",3,3,3,1,1,49,3,3,3,3,3,3,3,3,46,3,3
"1",1,3,5,7,7,42,1,3,3,5,4,3,4,4,45,2,2
"1",2,3,7,6,6,86,5,5,5,1,1,5,1,2,70,5,2
"1",2,1,6,6,6,54,3,3,3,3,3,2,2,3,43,3,3
"1",1,2,5,6,6,43,1,1,1,4,3,3,3,1,29,3,2
"1",1,3,7,7,7,63,4,4,4,2,1,5,2,2,58,5,3
"1",1,3,7,7,7,69,3,4,4,2,3,5,1,2,65,5,3
"1",1,3,7,7,7,78,4,5,5,1,1,5,1,2,85,5,5
"1",1,3,6,6,6,47,4,3,3,3,4,3,3,3,42,3,3
"1",1,3,7,7,4,75,5,1,5,1,2,5,1,5,76,5,3
"1",1,2,5,3,5,42,1,2,3,3,4,5,5,5,58,4,4
"1",3,2,6,7,6,48,3,4,3,3,3,2,3,3,52,4,3
"1",3,1,5,6,6,61,2,5,2,2,3,3,2,2,68,5,5
"1",2,3,6,6,6,48,2,3,3,3,4,2,2,3,41,3,3
"1",1,3,6,5,6,49,1,3,3,3,4,3,2,3,43,3,3
"1",1,3,6,6,5,55,4,3,3,2,3,4,2,3,47,3,4
"1",1,3,7,7,7,43,2,3,3,4,5,1,3,3,48,4,3
"1",1,3,5,6,4,62,5,5,4,3,4,5,1,3,42,3,3
"1",1,3,6,6,6,59,3,3,3,2,2,2,2,2,48,3,3
"1",3,3,6,6,6,62,2,3,3,2,2,4,1,2,44,3,3
"1",1,3,6,5,6,52,2,3,3,3,3,4,3,3,29,2,1
"1",1,3,5,5,6,48,2,2,3,3,3,2,3,3,38,3,2
"1",1,3,5,7,7,39,4,4,4,4,5,3,3,3,48,4,3
"1",2,3,6,6,6,59,3,3,3,2,3,5,2,3,52,4,3
"1",1,1,5,5,5,50,2,2,2,3,3,1,2,2,38,2,3
"1",1,2,5,5,7,50,3,3,3,2,4,3,2,3,52,3,3
"1",1,3,7,7,7,52,2,3,3,3,3,2,3,3,49,4,3
"1",3,2,5,6,7,52,3,3,2,3,3,4,1,3,41,2,3
"1",1,1,1,1,6,29,1,1,3,3,5,1,5,3,41,1,3
"1",1,3,3,4,3,73,1,1,1,1,1,1,1,1,44,3,3
"1",1,3,4,3,3,42,3,2,3,4,4,2,2,3,43,3,3
"1",1,2,3,4,7,38,3,2,3,5,5,2,2,4,38,3,1
"1",1,2,6,6,5,39,3,1,3,5,4,2,3,4,72,5,4
"1",1,3,6,6,6,51,2,4,2,3,3,4,3,2,40,3,3
"1",1,3,5,6,5,50,2,2,2,3,3,3,2,3,31,3,2
"1",1,3,2,2,3,29,1,1,1,5,5,3,3,4,58,3,1
"1",1,3,7,7,7,67,5,4,4,1,3,5,1,3,61,4,5
"1",1,1,5,5,5,31,2,2,2,5,5,2,3,3,73,5,5
